code_qp,nom_qp,nom_commune,pop_mun,pop_com_qp,pop_com,ind_jeune,tx_tot_et,tx_f,tx_f_et,percou,pmimp,part_chomprinc,decuc_q2,decuc_d1,decuc_d9,disp_q2,disp_d1,disp_d9,tp60,brev,a,tx_tot_empl,tx_f_empl,tx_et_empl,tx_tot_eprec,tx_f_eprec,tx_et_eprec,abcde,abcde_f,abcde_h,abc_capbep,abc_bac,abc_supbac,ec_mat,ec_elem,ec_elem_pri,coll,coll_pri,nbetab,ens_sante,serv_par,serv_tot,auto_ent
QP009001,Coeur De Ville,Saint-Girons,1177,1177,6289,0.7,11,53.5,9.1,692,25.8,,10788,0,26094,13724,7575,25555,40.2,55.6,464,50.7,51.2,50,23.9,24,34.6,255,112,143,96,43,68,1,3,1,1,1,303,55,98,144,7
QP009002,Centre Ancien,Foix,1236,1236,9731,0.7,9.4,54.6,8.6,903,26,,11907,0,28326,13799,7426,26276,40.4,51.5,690,44,42.7,38,28.8,24.4,48.6,315,134,181,111,60,87,1,0,0,0,0,372,49,83,187,7
QP009003,Centre Ancien - La Gloriette,Pamiers,4291,4291,15744,1,11.8,53.4,9.9,2842,26.3,7.5,9978,0,24250,13543,7183,23382,42,58.1,1582,42.3,36.3,35,27.4,25.9,48.7,831,412,419,308,175,120,2,5,2,3,2,379,66,107,204,5
QP011001,Quartier Aude,Limoux,2050,2050,10166,0.8,13.1,51,11.5,1176,25,,10408,2,25648,13626,7893,24986,41,58.2,743,43.1,38.4,33.1,27,29.3,38.6,328,175,153,117,58,56,2,2,1,1,1,338,77,110,185,8
QP011002,La Conte - Ozanam,Carcassonne,2060,9831,46724,2,24.9,53.5,22.6,1971,16.1,9.6,5600,0,19378,10976,7022,19469,61.2,78.4,759,30.9,29.2,16.3,24.4,22.2,44.7,467,222,245,145,91,46,1,1,0,1,0,58,7,7,15,0
QP011003,Le Viguier - Saint-Jacques,Carcassonne,1862,9831,46724,1.6,38.3,52.4,36.5,1413,,11.6,4868,0,16060,10624,6648,17739,65.1,80.4,653,24.2,20.6,18.9,31.3,38,32.6,330,141,189,83,48,43,2,2,0,1,0,42,2,4,10,0
QP011004,Bastide Pont-Vieux,Carcassonne,3775,9831,46724,1.1,10.6,52.3,,3021,28.1,9.7,10820,0,30260,13656,7228,28632,40.1,55.6,1912,40.2,40.1,30,27.9,24,,777,370,407,265,153,149,3,4,2,4,1,897,114,209,425,17
QP011005,Fleming La Reille,Carcassonne,1050,9831,46724,1.2,22.9,57.8,21.6,670,,,7190,0,23048,11998,7336,22755,52.2,68,270,29.3,23.6,15.8,,,,0,0,0,0,0,0,0,1,0,0,0,24,6,7,10,4
QP011006,Grazailles,Carcassonne,1084,9831,46724,2.1,,56.1,,804,,,7724,0,22826,12442,7676,23561,49,69.7,369,37.1,31.1,,28.7,39.2,,212,114,98,77,45,31,1,1,0,1,0,0,0,0,0,0
QP011007,Narbonne Ouest,Narbonne,4031,10384,52802,1.5,17.9,52.2,16.4,2561,18.9,9.6,7308,0,20524,11886,7391,20767,53.1,70.1,1133,33.4,25.5,28.8,22.2,21.9,41.9,612,308,304,218,112,72,4,2,0,1,0,94,15,21,38,3
QP011008,Narbonne Centre,Narbonne,4661,10384,52802,1.2,10,54.6,9.2,4027,24.4,11,9706,0,26820,13297,7229,25490,42.4,57.7,2522,42,40.2,43.8,32.5,32.9,,1148,539,609,394,252,224,2,5,2,4,1,745,54,149,289,29
QP011009,Narbonne Est,Narbonne,1692,10384,52802,1.6,,52.1,,1352,15.8,,7424,0,18960,11673,7218,19741,54.7,72.8,634,35.1,28.3,,19.3,,,325,159,166,126,57,42,1,2,0,1,0,24,3,5,9,0
QP011010,Centre Ville,Lézignan-Corbières,2993,2993,11223,0.9,7.1,52.5,7,1921,25.5,,9930,0,25652,13238,7621,25269,43.9,58.1,883,38.6,33.6,37.4,26.7,20.9,,310,129,181,106,65,37,2,3,1,2,1,344,53,93,165,6
QP012001,Quatre Saisons,Onet-le-Château,1540,1540,11604,2.2,30.2,50.3,29.5,1097,19.9,,9760,1312,20436,12902,7164,20908,44.9,61.5,428,44.4,37,47.3,27.9,27.7,30.4,237,120,117,82,39,41,1,2,1,1,0,18,4,5,6,7
QP012002,La Bastide,Villefranche-de-Rouergue,2091,2091,11909,1.5,19.5,49.8,17.2,1360,20.9,,8700,0,22018,12290,7329,21280,50.2,67.1,745,43.3,40.1,41.4,29.7,28.6,,368,173,195,154,58,46,2,4,2,2,1,282,28,66,115,6
QP030001,Près Saint Jean - Cévennes - Tamaris - Cauvel-la Royale - Rochebelle - Centre ville,Alès,14621,14621,40711,0.7,11.1,56.6,10.4,10205,21.7,7.8,9012,0,22264,12827,7565,22076,46.6,62.5,5634,36.6,35.6,27.7,24.2,25.1,36.3,2914,1382,1532,1172,541,363,5,12,4,6,3,1390,140,290,588,55
QP030002,Centre Ville,Anduze,1134,1134,3377,0.8,7.5,55.2,7.7,686,24.2,,10082,0,24100,13317,7860,23524,42.7,59.5,425,39.7,38.5,31.6,22.4,26.7,25,234,125,109,77,53,43,1,1,0,1,0,156,17,22,38,6
QP030003,Pissevin - Valdegour,Nîmes,15597,37833,150564,2.8,26.8,51.2,26.7,12824,10.3,11.5,4692,0,14472,10408,6541,16847,69.1,85.7,4624,21.5,14.2,18.7,30.7,30.3,34.3,2577,951,1626,715,484,301,7,6,0,2,0,649,113,135,293,32
QP030004,Gambetta-Richelieu,Nîmes,6862,37833,150564,1.2,11.8,51.6,9.3,4897,23.6,8.5,9586,0,25954,13091,6740,25121,43.7,59.8,3138,39.6,39.6,38.1,18.6,20.5,,1303,557,746,415,257,272,4,6,2,3,1,512,64,121,233,27
QP030005,Chemin-Bas D'Avignon - Clos D'Orville,Nîmes,7264,37833,150564,1.4,24.8,52.2,24.4,5505,13.6,10.1,5948,0,17580,11095,7014,18661,60,78.4,2367,26.7,22.1,21.9,28.3,25.7,33.2,1302,548,754,414,245,161,5,3,0,1,0,192,32,49,71,14
QP030006,Mas De Mingue,Nîmes,3014,37833,150564,2.4,17.8,51.7,16.7,2499,12.3,9.9,6442,0,17382,11588,6586,18952,55.9,77.8,977,33.1,27.3,22.3,30.6,36.1,39.2,560,227,333,206,104,70,2,1,0,1,0,48,6,7,12,10
QP030007,Route De Beaucaire,Nîmes,1722,37833,150564,1.3,,56,,1161,26.9,,11167,360,23721,13808,8340,23166,39.1,55.4,578,56.6,53,51.1,17.9,,,298,172,126,96,68,48,1,0,0,1,1,58,8,15,28,11
